Symbol|Name
UNIP3.SA|Unipar Carbocloro S.A.
GALG11.SA|Guardian Logistica Fundo De Investimento Imobiliario
BARI11.SA|Fundo De Investimento Imobiliario Barigui Rendimentos Imobiliario I Fii
CGRA4.SA|Grazziotin S.A.
EQPA3.SA|Equatorial Pará Distribuidora de Energia S.A.
EMAE4.SA|Empresa Metropolitana de Águas e Energia S.A.
QCOM34.SA|QUALCOMM Incorporated
U1BE34.SA|Uber Technologies, Inc.
LVBI11.SA|Fundo De Investimento Imobiliario - VBI Logistico - Cota Fund
ENDD11.SA|Endurance Debt Fundo De Investimento Em Participacoes Em Infraestrutura
LVBI11.SA|Fundo De Investimento Imobiliario - VBI Logistico - Cota Fund
ENDD11.SA|Endurance Debt Fundo De Investimento Em Participacoes Em Infraestrutura
KISU11.SA|Kilima Fundo De Investimento Em Cotas De Fundos Imobiliarios Suno 30
CEDO3.SA|Companhia de Fiação e Tecidos Cedro e Cachoeira S.A.
URPR11.SA|Urca Prime Renda Fundo De Investimento Imobiliario - FII
LSXM35.SA|Formula One Group
MCDC34.SA|McDonald's Corporation
BTCR11.SA|Fundo Infestimento Imobiliario Btg Pactual Credito Imobiliario
FSTU11.SA|Fiset Tur
RBFF11.SA|Fator IFIX Fundo Investimento Imobiliario - FII - Cotas Fund
TSMC34.SA|TAIWANSMFAC DRN
SNSY5.SA|Sansuy S.A.
XPIN11.SA|Xp Industrial Fundo Investimento Imobiliario
PATL11.SA|Patria Logistica Fundo De Investimento Imobiliario
O1KT34.SA|Okta, Inc.
CHVX34.SA|Chevron Corporation
BRKM3.SA|Braskem S.A.
RDNI3.SA|RNI Negócios Imobiliários S.A.
BPFF11.SA|Fundo de Investimento Imobiliário - FII Brasil Plural Absoluto Fundo de Fundos
HSLG11.SA|Hsi Logistica Fundo De Investimento Imobiliario
DIVO11.SA|It Now IDIV Index Fund
BEEM39.SA|Ishares Msci Emerging Markets ETF
AALL34.SA|American Airlines Group Inc.
BIEF39.SA|Ishares Core Msci Eafe ETF
F1NI34.SA|Fidelity National Information Services, Inc.
SARE11.SA|Santander Renda De Alugueis Fundo Investimento Imobiliarios
PTNT3.SA|Pettenati S.A. Industria Têxtil
BBPO11.SA|BB Progressivo II Fundo de Investimento Imobiliário - FII
XPIE11.SA|XP Infra Fund II Fundo De Investimento Em Participacoes Infraestrutura
RNEW11.SA|Renova Energia S.A.
BRSR3.SA|Banco do Estado do Rio Grande do Sul S.A.
BOAC34.SA|Bank of America Corporation
RZAK11.SA|Riza Akin Fundo De Investimento Imobiliario – FII
NORD3.SA|Nordon Indústrias Metalúrgicas S/A
BIVB39.SA|Ishares Core S&P 500 Etf
IFRA11.SA|Itau FIC De Fundos De Investimento Em Direitos Creditorios De Infraestrutura
S2EA34.SA|Sea Limited
CRPG5.SA|Tronox Pigmentos do Brasil S.A.
PAGS34.SA|PagSeguro Digital Ltd.
G1WW34.SA|W.W. Grainger, Inc.
KDIF11.SA|Kinea Infra Fundo Investimento Cotas Fundos Investimento Direitos Creditorios Infraestrutura
VSLH11.SA|Versalhes Recebiveis Imobiliarios - Fundo De Investimento Imobiliario
REDE3.SA|Rede Energia Participações S.A.
C1SU34.SA|CREDIT SUISSDRN
RPAD6.SA|Alfa Holdings S.A.
AIEC11.SA|Autonomy Edifícios Corporativos Fundo de Investimento Imobiliario
HSAF11.SA|Hsi Ativos Financeiros Fundos Investimentos Imoliarios
CESP3.SA|CESP - Companhia Energética de São Paulo
BEWJ39.SA|Ishares Msci Japan Etf
EUCA3.SA|Eucatex S.A. Indústria e Comércio
XPCM11.SA|XP Corporate Macaé Fundo de Investimento Imobiliário - FII
ALZR11.SA|Alianza Trust Renda Imobiliaria Fundo Investimento Imobiliario
BDIV11.SA|Btg Pactual Infraestrutura Dividendos Fundo De Investimento Em Participacoes Em Infraestrutura
COCE5.SA|Companhia Energética do Ceará - Coelce
SDIL11.SA|SDI Logística Rio - Fundo de Investimento Imobiliário - FII
BTAL11.SA|FII Btg Pactual Agro Logistica
BPAC5.SA|Banco BTG Pactual S.A.
RFOF11.SA|Fundo De Investimento Imobiliario RB Capital I Fundo De Fundos
PLAS3.SA|Plascar Participações Industriais S.A.
XPID11.SA|XP FIC De Fundos Incentivados De Investimento Em Infraestrutura Renda Fixa
DMAC11.SA|Mac Fundo De Investimento Imobiliário fUND
R1FC34.SA|Regions Financial Corporation
FIVN11.SA|Vida Nova Fundo Investimento Immobiliere
BRAX11.SA|iShares IBrX-Índice Brasil (IBrX-100) Index Fund
TF473.SA|
IRFM11.SA|It Now IRF - M P2 Fundo De Indice
KNHY11.SA|Kinea High Yield Cri Fundo Investimento Imobiliario FII
TF573.SA|
BIBB39.SA|Ishares Nasdaq Biotechnology Etf
PFIN11.SA|Perfin Apollo Energia Fundo De Investimento Em Participacoes Em Infraestrutura
TF593.SA|
PATC11.SA|Patria Edificios Corporativos Fundo Investimento Imobiliario Fii
PGCO34.SA|The Procter & Gamble Company
TF603.SA|
TF523.SA|
TF543.SA|
TF563.SA|
TF483.SA|
TF583.SA|
T1AM34.SA|Atlassian Corporation Plc
TF513.SA|
TF503.SA|
TF533.SA|
RBRL11.SA|RBR Log FII
VGIR11.SA|Valora Re III Fundo De Investimento Imobiliario
RBVA11.SA|Fundo Invest Imobiliario Agencias Caixa - FII Fund
BPAC3.SA|Banco BTG Pactual S.A.
